,county,state_x,lat_avg,lng_avg,install_prop,state_y,d_prop,r_prop,d_votes,r_votes
43,Imperial,California,32.868025337543,-115.55144572630905,2.9690717731534155e-06,California,0.6167336171233287,0.38326638287667125,20573.0,12785.0
44,Jefferson,Texas,30.004696412401447,-94.07285738974863,1.1600313281723743e-05,Texas,0.4694767838154702,0.5305232161845298,34438.0,38916.0
45,Jones,Texas,32.78115303698336,-99.85599235769449,0.0,Texas,0.15373679935012186,0.8462632006498781,757.0,4167.0
46,Kern,California,35.357030002099165,-118.89748930485182,0.0004660021807034788,California,0.4106019854752504,0.5893980145247496,83507.0,119870.0
47,Kings,California,36.27624038256353,-119.71619951013204,0.0001148221984115872,California,0.40577171002611484,0.5942282899738852,12275.0,17976.0
48,Lampasas,Texas,31.109554935106388,-98.11933505373804,5.32068530426719e-05,Texas,0.18109492988133766,0.8189050701186623,1343.0,6073.0
49,Liberty,Texas,30.160984803235536,-94.89895946564086,1.0208109322045433e-05,Texas,0.18758295236690753,0.8124170476330924,3816.0,16527.0
50,Los Angeles,California,34.071345292455824,-118.23534194517687,0.000302710112231202,California,0.7190161099533814,0.2809838900466186,2114699.0,826402.0
51,Lubbock,Texas,33.552628420247004,-101.88592435762571,7.373449049022122e-06,Texas,0.30621848361990545,0.6937815163800946,27266.0,61775.0
52,Madera,California,37.07470808911551,-119.9535428680779,9.833356239494554e-05,California,0.39031797534068785,0.6096820246593121,15037.0,23488.0
53,Marin,California,37.99155909808157,-122.5611254035861,0.0012686819638201756,California,0.7948949939043559,0.2051050060956441,103671.0,26750.0
54,Mariposa,California,37.53714853215129,-119.95257477397591,0.0,California,0.38694383661560905,0.613056163384391,3183.0,5043.0
55,McLennan,Texas,31.544015077603927,-97.1766155512526,1.4147515293110345e-05,Texas,0.334564244072015,0.665435755927985,24734.0,49195.0
56,Mendocino,California,39.30864629117739,-123.4004148452693,6.220702220514217e-05,California,0.6630945610201455,0.33690543897985453,22152.0,11255.0
57,Merced,California,37.279560294986574,-120.64293329627351,0.00017296185489902767,California,0.5199216308882396,0.48007836911176044,30783.0,28424.0
58,Midland,Texas,31.99484593997789,-102.10159794314863,1.2961414620062428e-05,Texas,0.19219454329774616,0.8078054567022539,8101.0,34049.0
59,Monterey,California,36.598010141124796,-121.67253580830713,0.000112785505451328,California,0.6598257635756345,0.34017423642436556,76648.0,39516.0
60,Montgomery,Texas,30.238767506776927,-95.46900099377727,1.5117023279915513e-05,Texas,0.22931361476335585,0.7706863852366441,43044.0,144664.0
