,county,state,tile_count,solar_system_count,total_panel_area,land_area,total_area,population,population_density,average_household_income,race_asian_rate,race_black_africa_rate,race_indian_alaska_rate,race_islander_rate,race_white_rate,race_other_rate,race_two_more_rate,diversity,voting_2016_dem_percentage,voting_2016_gop_percentage,avg_electricity_retail_rate,gini_index,ratio_panels_to_housing_units,education_highschool_percentage,education_bachelor_percentage,employed_percentage
2150,Overton County,tn,4.0,4.0,559.8580281750001,433.48257,434.83389,22100,61.181137142857146,47222.72947135715,0.0037947062972928576,0.005816950130945714,0.0030296094478614284,0.0,0.9781231941845715,0.0,0.009235539939314285,0.042575568662014285,0.237095790116,0.7388651616840001,9.269999999999998,0.44935714285714284,0.000389749585891065,0.30434389140271495,0.05742081447963801,0.3836651583710407
2210,Perry County,tn,2.0,2.0,264.825524811,414.731,422.87170000000003,7864,19.018575,46271.9025002,0.00113753877973,0.022750775594599995,0.0040092958689950005,0.0,0.9526739962505,0.0,0.019428393506,0.090637884907,0.209106830123,0.759019264448,9.27,0.49749999999999994,0.00043725404459991256,0.29094608341810785,0.05620549338758901,0.35846897253306204
2228,Pickett County,tn,0.0,0.0,0.0,162.9789,174.4936,5097,31.27399,48466.6666667,0.0,0.0074553659015100015,0.0,0.0,0.976849126937,0.0,0.015695507161100002,0.04546385177630001,0.20544269835200002,0.773859716366,9.27,0.4054,0.0,0.28997449480086324,0.03609966647047283,0.4249558563861095
2277,Polk County,tn,3.0,3.0,145.519841599,434.67625999999996,442.33435,16687,36.560472,52519.14030636001,0.0012910468706139999,0.0031875017450220004,0.0045231687548879995,0.0,0.9705892174212,0.0059524332709804,0.014456631937301997,0.05719927106163999,0.192024539877,0.781748466258,9.27,0.4626,0.0003627130939426913,0.3095823095823096,0.04386648289087314,0.38335231018157845
2335,Putnam County,tn,55.0,44.0,3149.5464249276997,401.103242,402.56437500000004,73810,826.7875013333331,52453.106990446664,0.013391079725256667,0.0227847047292856,0.0022714170392233333,0.0005669467985033334,0.9381677663249332,0.004973278594724,0.017844806788054664,0.11686892672614665,0.25398768454599996,0.7040952592919999,9.27,0.48172000000000004,0.0016846361185983828,0.24067199566454409,0.09780517545048097,0.41113670234385585
2381,Rhea County,tn,4.0,4.0,108.61076677540001,315.37712,336.40556999999995,32394,195.11755833333333,52172.31315766667,0.0007069543637383334,0.02151996924025,0.002106400747065,0.0,0.9503849233063333,0.00971773180241,0.015564020540218333,0.09476200136978334,0.17741640782,0.790243011146,9.269999999999998,0.44288333333333335,0.00027766208524226016,0.257177255047231,0.05250972402296722,0.38575044761375565
2407,Roane County,tn,94.0,25.0,11289.628704058901,360.708123,394.976973,53162,237.48595272727272,56218.68552813,0.005249340213527,0.029024704534330002,0.004326559079143999,0.0,0.9395432565766001,0.00162666012187,0.020229479474402002,0.11441570480944,0.223957367933,0.7350787766450001,9.269999999999998,0.43809000000000003,0.0036713013591626307,0.26629923629660285,0.08227681426582897,0.3872314811331402
2414,Robertson County,tn,65.0,35.0,3836.13531073057,476.28693599999997,476.46130700000003,67426,510.38944857142855,63529.91084865,0.004750839818258572,0.09217629459287928,0.0040782378017455,0.00026270162349571426,0.8577499450413572,0.02485383080299643,0.016128150319071072,0.22311199719245,0.24532209156099996,0.7171437023890003,9.269999999999998,0.39390000000000003,0.0024666059502125074,0.2566369056447068,0.07900513155162697,0.4683504879423368
2452,Rutherford County,tn,308.0,132.0,24547.787596333415,619.3640439000002,624.0525908000002,282558,1658.5226724489796,69831.92398997919,0.027992504849334486,0.1371697370981388,0.0025196363556357557,0.0003838912839267347,0.7978732369909793,0.008681156564898568,0.025379836857073047,0.32340290655014087,0.3438573762180002,0.6048555173770004,9.269999999999994,0.37639183673469395,0.002866422834594373,0.18250058395090565,0.13190920094281527,0.5016209061502417
2529,Scott County,tn,2.0,2.0,32.1425814367,532.29697,533.2292,22043,50.98818,44658.68224052,0.0007398638650479999,0.0015385190056688,0.0026311994246680003,0.0,0.9833501351338001,0.000557526609224,0.011182755961526,0.032628645736292,0.131124526183,0.8485188824930001,9.27,0.49567999999999995,0.0002025931928687196,0.31819625277865987,0.03080342966020959,0.35294651363244567
2543,Sequatchie County,tn,3.0,3.0,219.339012002,265.85747000000003,266.04337,14592,90.78629000000001,52986.78094933333,0.0,0.0012266540044333335,0.005781752348526667,0.0,0.9021550778653333,0.0022554605887933335,0.08858105519276667,0.17807506012233335,0.185459678842,0.782424563261,9.27,0.44070000000000004,0.00046992481203007516,0.28022203947368424,0.05311129385964912,0.38898026315789475
2546,Sevier County,tn,57.0,38.0,3996.4570917488,592.4997849999999,597.717925,93617,332.7528188888889,54348.08066251177,0.012647827890312942,0.008050305447849765,0.0030719307170029415,0.00013366657366588235,0.9419868641194706,0.01952764799997647,0.014581757251792352,0.10825753155637646,0.17393587617499995,0.7907683803209999,9.270000000000001,0.4311352941176471,0.0010134954926121513,0.2629650597647863,0.07307433478962154,0.4786630633325144
2565,Shelby County,tn,1023.0,590.0,72557.4976965361,763.1743640999998,785.0186165999997,937750,3096.264956669681,60839.68017087546,0.020836011048303456,0.5719764192416857,0.002254425208339721,0.0004094884671665753,0.363262546483644,0.025097591912654853,0.01616351763824872,0.31589217235025624,0.6226703348690006,0.34637393366500063,9.269999999999985,0.4349041666666667,0.0025465815316829095,0.17382564649426818,0.1208413756331645,0.4535270594508131
2595,Smith County,tn,5.0,4.0,210.1866641067,314.28893300000004,325.37252,19136,115.77229,58296.65971694,0.001238777127126,0.023738398115453994,0.004190394727456,0.0,0.9585164941002,0.002899804480322,0.00941613144962,0.078290434113656,0.227800269906,0.7402159244259999,9.27,0.46238,0.0005824111822947001,0.3277069397993311,0.04232859531772575,0.4243833612040134
2670,Stewart County,tn,4.0,3.0,434.16444924419,459.33027000000004,493.01084000000003,13286,24.648857999999997,53120.55829673333,0.010695281560323332,0.016464113366770002,0.011405038962879999,0.0,0.9384842189083332,0.005224370505266667,0.017726976696543335,0.11803764019596667,0.23130796895700004,0.7314026121520001,9.27,0.43096666666666666,0.0005914534969688008,0.29331627276832756,0.05660093331326208,0.3626373626373626
2691,Sullivan County,tn,177.0,128.0,8927.036233481902,413.3630141,429.70682410000006,156752,960.4755274358974,56875.60284085641,0.00541522759892495,0.021807929083853365,0.002494699502781051,0.00047746445379984615,0.9442907879523591,0.007615646089962411,0.0178982453183859,0.10278473039569669,0.198964249916,0.7613932509189996,9.269999999999998,0.4427435897435898,0.0023917626074266255,0.25125676227416555,0.09841022762070022,0.4230440440951312
2698,Sumner County,tn,129.0,91.0,8286.12414035306,529.449443,543.217166,169623,810.3740659523809,74929.08144066905,0.010001263232297143,0.053577165211302624,0.0032944620867509525,0.0006782902765430953,0.9068576155512861,0.011019565390856191,0.014571638250970954,0.1606386460793507,0.25538829487899994,0.7049099606079994,9.269999999999996,0.3987880952380952,0.001910997866793079,0.22153835269981076,0.11183624862194395,0.4847455828513822
2769,Tipton County,tn,9.0,8.0,303.06883414821004,458.365759,473.31355900000005,61674,310.1248,63215.23970021539,0.005670348611300001,0.20148795443421536,0.0034586775966453853,0.003339031142490923,0.7705854819905384,0.0030809133245296924,0.01237759290020877,0.2974195293401831,0.24726168064399992,0.7227879513950003,9.269999999999998,0.4120692307692308,0.0003848620910840282,0.2528456075493725,0.062181794597399226,0.44117456302493757
2798,Trousdale County,tn,2.0,1.0,80.849565059,114.193158,116.643081,7884,172.535055,53523.74339525,0.013887619251105002,0.1383637789411,0.0,0.0,0.8385339685315001,0.0,0.009214633275985,0.2655961502445,0.300127307447,0.668045830681,9.27,0.4607,0.0005878894767783657,0.2889396245560629,0.04452054794520548,0.42820903094875695
2819,Unicoi County,tn,9.0,8.0,347.9316365014,186.165033,186.49349299999997,18069,596.8198625,47221.932164950005,0.002464244298415,0.007651903210185,0.00042139135764749996,0.0,0.9722380148855,0.008869167665077499,0.0083552785829775,0.054371740930700005,0.175830309796,0.790678202623,9.27,0.460975,0.0010180995475113123,0.3052188831700703,0.054679284963196635,0.3576290884941059
